ลำดับ,ปี,เดือนรอบบิล,เขต/สังกัด,สถานี/หน่วยงาน,หมายเลขผู้ใช้ไฟ,ประเภทสถานี,ค่าไฟฟ้า (บาท/เดือน),จำนวนหน่วย (kWh/เดือน)
957,2566,พฤษภาคม,สปข.8,สวท.ราชบุรี,6001705431,สถานี A.M.,"53,081.32","10,817.72"
958,2566,พฤษภาคม,สปข.8, สวท.เพชรบุรี,27672463,สถานี T.V. และสถานี F.M.,"15,648.53","2,969.10"
959,2566,พฤษภาคม,สปข.8, สวท.เพชรบุรี,5900799250,สถานี T.V. และสถานี F.M.,"51,111.39","9,844.50"
960,2566,พฤษภาคม,สปข.8,สวท.ประจวบคีรีขันธ์,6001704633,สถานี F.M.,"44,071.83","8,479.70"
961,2566,มิถุนายน,สปข.8,สปข.8 - สทท.กาญจนบุรี,23050191,สำนักประชาสัมพันธ์เขตและ T.V.,"160,745.60","29,000.00"
962,2566,มิถุนายน,สปข.8,สคท.กาญจนบุรี,24409713,สถานี T.V.,"33,808.59","6,489.90"
963,2566,มิถุนายน,สปข.8,สคท.ทองผาภูมิ,6201223474,สถานี T.V.,"28,019.82","5,367.60"
964,2566,มิถุนายน,สปข.8,สวท.ชัยนาท,27709281,สถานี F.M.,"17,260.89","3,281.70"
965,2566,มิถุนายน,สปข.8,สวท.ชัยนาท,29159301,สถานี F.M.,"36,568.60","7,025.00"
966,2566,มิถุนายน,สปข.8, สวท.สุพรรณบุรี,27701584,สถานี T.V. และสถานี F.M.,"72,279.02","14,683.14"
967,2566,มิถุนายน,สปข.8,สวท.กาญจนบุรี,27696591,สถานี A.M.,"65,805.45","13,573.63"
968,2566,มิถุนายน,สปข.8,สวท.สังขละบุรี,8748127,สถานี T.V. และสถานี F.M.,"81,746.00","17,169.20"
969,2566,มิถุนายน,สปข.8,สวท.ราชบุรี,6001705431,สถานี A.M.,"50,777.57","9,779.78"
970,2566,มิถุนายน,สปข.8, สวท.เพชรบุรี,27672463,สถานี T.V. และสถานี F.M.,"14,100.62","2,669.00"
971,2566,มิถุนายน,สปข.8, สวท.เพชรบุรี,5900799250,สถานี T.V. และสถานี F.M.,"49,045.63","9,444.00"
972,2566,มิถุนายน,สปข.8,สวท.ประจวบคีรีขันธ์,6001704633,สถานี F.M.,"32,256.52","6,188.99"
973,2566,กรกฎาคม,สปข.8,สปข.8 - สทท.กาญจนบุรี,23050191,สำนักประชาสัมพันธ์เขตและ T.V.,"180,912.98","32,678.00"
974,2566,กรกฎาคม,สปข.8,สคท.กาญจนบุรี,24409713,สถานี T.V.,"34,620.95","6,647.40"
975,2566,กรกฎาคม,สปข.8,สคท.ทองผาภูมิ,6201223474,สถานี T.V.,"30,436.83","5,836.20"
976,2566,กรกฎาคม,สปข.8,สวท.ชัยนาท,27709281,สถานี F.M.,"16,730.66","3,178.90"
977,2566,กรกฎาคม,สปข.8,สวท.ชัยนาท,29159301,สถานี F.M.,"16,730.66","3,178.90"
978,2566,กรกฎาคม,สปข.8, สวท.สุพรรณบุรี,27701584,สถานี T.V. และสถานี F.M.,"74,883.48","15,195.60"
979,2566,กรกฎาคม,สปข.8,สวท.กาญจนบุรี,27696591,สถานี A.M.,"69,508.42","14,157.22"
980,2566,กรกฎาคม,สปข.8,สวท.สังขละบุรี,8748127,สถานี T.V. และสถานี F.M.,"80,056.42","16,632.70"
981,2566,กรกฎาคม,สปข.8,สวท.ราชบุรี,6001705431,สถานี A.M.,"54,556.30","10,990.52"
982,2566,กรกฎาคม,สปข.8, สวท.เพชรบุรี,27672463,สถานี T.V. และสถานี F.M.,"14,655.12","2,776.50"
983,2566,กรกฎาคม,สปข.8, สวท.เพชรบุรี,5900799250,สถานี T.V. และสถานี F.M.,"49,437.12","9,515.90"
984,2566,กรกฎาคม,สปข.8,สวท.ประจวบคีรีขันธ์,6001704633,สถานี F.M.,"26,185.10","5,011.89"
985,2566,กรกฎาคม,สปข.3,สวท.ลำพูน,9816020004565451,สถานี A.M. และ F.M.,"181,363.81","36,782.00"
986,2566,มิถุนายน,สปข.3,สวท.ลำพูน,9816020004565451,สถานี A.M. และ F.M.,"181,073.04","36,878.00"
987,2566,สิงหาคม,สปข.3,สวท.ลำพูน,9816020004565451,สถานี A.M. และ F.M.,"186,028.03","38,963.00"
988,2566,พฤษภาคม,สปข.3,สวท.ลำพูน,9816020004565451,สถานี A.M. และ F.M.,"189,839.44","39,399.00"
989,2566,เมษายน,สปข.3,สวท.ลำพูน,9816020004565451,สถานี A.M. และ F.M.,"210,975.25","38,316.99"
990,2566,สิงหาคม,สปข.3,สคท.เชียงราย,020005862041,สถานีเครื่องส่ง T.V.,"59,525.53","11,475.80"
991,2566,กรกฎาคม,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"203,169.65","37,959.00"
992,2566,กรกฎาคม,สปข.2,สคท.สุรินทร์,020014158104,สถานี T.V.,"34,844.80","6,690.80"
993,2566,กรกฎาคม,สปข.2,สคท.อุบลราชธานี,020012632147,สถานี T.V.,"44,019.75","8,469.43"
994,2566,กรกฎาคม,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานี T.V.,334.20,0.00
995,2566,กรกฎาคม,สปข.2,สคท.มุกดาหาร (ช่อง11),020012135407,สถานี T.V.,"29,189.64","5,594.40"
996,2566,พฤศจิกายน,สปข.2,สวท.นครพนม,0220016070220,สถานี F.M.,"34,492.54","8,292.00"
997,2566,กรกฎาคม,สปข.2,สวท.ยโสธร,022012572559,สถานี F.M.,"82,775.76","17,183.88"
998,2566,กรกฎาคม,สปข.2,สวท.สุรินทร์ F.M.,020014154422,สถานี F.M.,"25,203.08","4,821.50"
999,2566,กรกฎาคม,สปข.2,สวท.มุกดาหาร F.M.,02001155156,สถานี F.M.,"31,957.40","6,131.00"
1000,2566,กรกฎาคม,สปข.2,สวท.มุกดาหาร A.M.,02001157483,สถานี A.M.,"20,852.37","3,978.00"
1001,2566,กรกฎาคม,สปข.2,สวท.บุรีรัมย์ F.M.,02001368203,สถานี F.M.,"36,236.41","6,960.60"
1002,2566,กรกฎาคม,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี A.M.,"45,411.94","9,376.30"
1003,2566,กรกฎาคม,สปข.2,สวท.อุบลราชธานี A.M.,020012632012,สถานี A.M.,"74,027.39","14,913.21"
1004,2566,กรกฎาคม,สปข.2,สวท.อุบลราชธานี (มิเตอร์ใหม่),020024893512,สถานี A.M. และ F.M.,"23,296.38","4,336.88"
1005,2566,กรกฎาคม,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"17,953.37","3,182.00"
1006,2566,กรกฎาคม,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"72,912.43","13,671.35"
1007,2566,กรกฎาคม,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"1,102.61",149.00
1008,2566,กรกฎาคม,สปข.2,สวท.ศรีสะเกษ (แห่งใหม่),0220022339904,สถานี F.M.,"27,384.37","5,244.40"
1009,2566,สิงหาคม,สปข.4,สวท.กำแพงเพชร,9089 020009497880,สถานี F.M.,"24,117.85","4,611.10"
1010,2566,มิถุนายน,สปข.1,สคท.นครราชสีมา (สนง.),27075840,สถานีเครื่องส่ง T.V.,"33,748.24","5,907.47"
1011,2566,สิงหาคม,สปข.1,สวท.กาฬสินธ์,27680313,สถานี F.M.,"27,857.35","5,336.10"
1012,2566,สิงหาคม,สปข.1,สวท.กาฬสินธ์,23053657,สถานี F.M.,"10,408.57","1,953.20"
1013,2566,สิงหาคม,สปข.1,สทท.ขอนแก่น,23053657,สำนักประชาสัมพันธ์เขต,"204,788.86","39,745.00"
1014,2566,สิงหาคม,สปข.1,สคว.ขอนแก่น (บ้านสำราญ),23053656,สถานีเครื่องส่งวิทยุ,"10,408.57","1,953.20"
1015,2566,สิงหาคม,สปข.1,สวท.ขอนแก่น,27705124,บ้านพักข้าราชการ,"5,279.98",958.89
1016,2566,สิงหาคม,สปข.1,สวศ.ขอนแก่น,6101485007,สถานี A.M.,"209,840.57","44,036.00"
1017,2566,สิงหาคม,สปข.1,สวท.ขอนแก่น,5701543473,สถานี A.M. และ F.M.,"32,838.03","6,184.87"
1018,2566,สิงหาคม,สปข.1,สคท.ชัยภูมิ (ช่อง 11),23070145,สถานี T.V.,"27,600.50","5,286.30"
1019,2566,สิงหาคม,สปข.1,สวท.ชัยภูมิ,9045380,สถานี F.M.,"41,205.57","7,924.00"
1020,2566,สิงหาคม,สปข.1,สคท.ชุมแพ (ขอนแก่น),15278596,สถานี T.V.,"18,978.48","3,614.70"
1021,2566,สิงหาคม,สปข.1,สวท.ด่านซ้าย (เลย),27707529,สถานี F.M.,"40,274.06","7,743.40"
1022,2566,กรกฎาคม,สปข.1,สวท.ด่านซ้าย (เลย),27707529,สถานี A.M.,"40,274.06","7,743.40"
1023,2566,สิงหาคม,สปข.1,สคท.นครราชสีมา,5701547600,สถานี T.V.,"2,851.69",488.10
1024,2566,สิงหาคม,สปข.1,สวท.นครราชสีมา,23047663,สถานี A.M. และ F.M.,"93,418.23","19,478.00"
1025,2566,สิงหาคม,สปข.1,สวท.บึงกาฬ,27687593,สถานี F.M.,"24,856.49","4,754.30"
1026,2566,สิงหาคม,สปข.1,สวท.มหาสารคาม,6400046308,สถานี A.M. และ F.M.,"14,540.07","2,754.20"
1027,2566,สิงหาคม,สปข.1,สวท.มหาสารคาม (หนองจิก),6400038861,สถานีเครื่องส่งวิทยุ,"25,402.70","4,860.20"
1028,2566,สิงหาคม,สปข.1,สคท.เลย (อ.ภูเรือ)	,6101485943,สถานีเครื่องส่ง T.V.,"4,431.50",-324.00
1029,2566,สิงหาคม,สปข.1,สวท.เลย,27683400,สถานี F.M.,"18,640.63","3,549.20"
1030,2566,สิงหาคม,สปข.1,สวท.เลย (ภูเรือ),28339328,สถานีเครื่องส่งวิทยุ,"14,874.33","2,819.00"
1031,2566,สิงหาคม,สปข.1,สคท.สกลนคร (ช่อง 11),23048602,สถานีเครื่องส่ง T.V.,"40,003.77","7,691.00"
1032,2566,สิงหาคม,สปข.1,สวท.สกลนคร,28071002,สถานี F.M.,"10,739.77","1,918.00"
1033,2566,สิงหาคม,สปข.1,สวท.สกลนคร,20015372371,สถานีเครื่องส่งวิทยุ,"15,343.69","2,910.00"
1034,2566,สิงหาคม,สปข.1,สวท.บึงกาฬ,27688555,สถานี F.M.,"13,921.64","2,634.30"
1035,2566,สิงหาคม,สปข.1,สวท.บึงกาฬ,27688555,สถานี F.M.,"13,921.64","2,634.30"
1036,2566,สิงหาคม,สปข.1,สวท.หนองคาย,9045557,สถานี F.M.,"17,695.71","3,366.00"
1037,2566,สิงหาคม,สปข.1,สวท.หนองคาย,9045557,สถานี F.M.,"17,695.71","3,366.00"
1038,2566,สิงหาคม,สปข.1,สวท.หนองคาย,23074006,สถานี A.M.,"92,673.02","19,655.81"
1039,2566,สิงหาคม,สปข.1,สวท.หนองบัวลำภู,27679759,สถานี F.M.,"50,335.12","9,694.00"
1040,2566,สิงหาคม,สปข.1,สคท.อุดรธานี (อ.เพ็ญ),23072200,สถานีเครื่องส่ง T.V.,"3,951.87",701.40
1041,2566,สิงหาคม,สปข.1,สวท.อุดรธานี,23068242,สถานี F.M.,"28,876.56","5,533.70"
1042,2566,สิงหาคม,สปข.1,สวท.อุดรธานี (บ้านดุง),20016297135,สถานีเครื่องส่ง VOR,"197,682.11","43,499.83"
1043,2566,สิงหาคม,สปข.1,สคท.นครราชสีมา,20020009313,สถานีเครื่องส่ง T.V.,"35,360.59","6,790.80"
1044,2566,สิงหาคม,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"159,236.34","30,214.01"
1045,2566,สิงหาคม,สปข.2,สคท.สุรินทร์,020014158104,สถานีเครื่องส่ง T.V.,"35,023.26","6,725.40"
1046,2566,สิงหาคม,สปข.2,สคท.อุบลราชธานี,020012632147,สถานีเครื่องส่ง T.V.,"43,033.54","8,278.40"
1047,2566,สิงหาคม,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานีเครื่องส่ง T.V.,334.10,0.00
1048,2566,สิงหาคม,สปข.2,สคท.มุกดาหาร (ช่อง11),020012135407,สถานี T.V.,"27,414.81","5,250.30"
1049,2566,ธันวาคม,สปข.2,สวท.นครพนม,020016070220,สถานี F.M.,"34,743.76","7,818.00"
1050,2566,กันยายน,สปข.2,สวท.ยโสธร,020012572599,สถานี T.V. และ F.M.,"79,552.50","17,012.55"
1051,2566,สิงหาคม,สปข.2,สวท.สุรินทร์ F.M.,020014154422,สถานี F.M.,"22,693.76","4,335.00"
1052,2566,สิงหาคม,สปข.2,สวท.มุกดาหาร F.M.,020012155156,สถานี F.M.,"29,749.81","5,703.00"
1053,2566,สิงหาคม,สปข.2,สวท.มุกดาหาร A.M.,020012157483,สถานี A.M.,"21,435.20","4,091.00"
1054,2566,สิงหาคม,สปข.2,สวท.บุรีรัมย์ F.M.,02001368203,สถานี F.M.,"33,812.19","6,490.60"
1055,2566,สิงหาคม,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี F.M.,"42,633.57","8,739.00"
1056,2566,สิงหาคม,สปข.2,สวท.อุบลราชธานี A.M.,020024893512,สถานี A.M.,"22,147.40","4,108.74"
1057,2566,สิงหาคม,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"17,890.59","3,171.00"
1058,2566,สิงหาคม,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"59,839.87","12,235.10"
1059,2566,สิงหาคม,สปข.2,สวท.ร้อยเอ็ด F.M.,020012631654,สถานี F.M.,"24,449.00","4,675.30"
1060,2566,สิงหาคม,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"1,210.93",170.00
1061,2566,สิงหาคม,สปข.2,สวท.ศรีสะเกษ ( แห่งใหม่ ),020022339904,สถานี F.M.,"25,973.16","4,970.80"
1062,2566,กรกฎาคม,สทท. (ส่วนกลาง),สถานีวิทยุโทรทัศน์แห่งประเทศไทย,87099601,สถานี T.V.,"1,344,217.02","279,000.00"
1063,2566,กันยายน,สปข.4,สคท.ตาก,9804 020010315402     ,สถานี T.V. และสถานี F.M.,"52,259.44","10,601.50"
1064,2566,กันยายน,สปข.5,สวท.ทุ่งสง,9044 020009051110,สถานี F.M.,"11,912.79","2,364.00"
1065,2566,กันยายน,สปข.3,สวท.พะเยา,020005688352,สถานี F.M.,"25,426.15","5,123.00"
1066,2566,กันยายน,สปข.4,สวท.แม่สอด,9021 020021516612,สถานี T.V. และสถานี F.M.,"78,025.07","17,017.79"
1067,2566,กันยายน,สปข.5,สวท.ชุมพร,020003809255,สถานี F.M.,"11,345.61","2,248.20"
1068,2566,กันยายน,สปข.4,สวท.สุโขทัย,020009685505,สถานี F.M.,"18,006.78","3,608.20"
1069,2566,กันยายน,สปข.3,สคท.เชียงราย,020005862041,สถานีเครื่องส่ง T.V.,"54,780.42","11,116.20"
1070,2566,กันยายน,สปข.3,สวท.ฝาง,15279255,สถานี F.M.,"30,919.60","6,577.82"
1071,2566,สิงหาคม,สนข.,สำนักข่าว,23056498,สถานี T.V.,"225,756.50","43,000.00"
1072,2566,กันยายน,สปข.4,สคท.นครสวรรค์,9806020006256640,สถานี T.V. และสถานี F.M.,"45,175.65","11,043.55"
1073,2566,กันยายน,สปข.3,สวท.ลำพูน,9816020004565451,สถานี A.M. และ F.M.,"181,733.96","38,910.01"
1074,2566,กันยายน,สปข.3,สวท.ลำปาง,020005125126,สถานี F.M.,"31,817.97","6,428.00"
1075,2566,กันยายน,สปข.3,สคท.เด่นชัย จ.แพร่,02000963505,สถานี T.V. และสถานี F.M.,"38,323.38","7,756.20"
1076,2566,กันยายน,สปข.5,สวท.นครศรีธรรมราช,9104020008910024,สถานี F.M.,"28,787.00","5,740.00"
1077,2566,กันยายน,สปข.3,สคท.เชียงใหม่,ACH29327-020004499744,สถานี T.V. และสถานี F.M.,"63,149.62","14,072.74"
1078,2566,กันยายน,สปข.3,สวท.น่าน ห้องส่ง,9004 020009497249,สถานี F.M.,"25,869.22","5,184.54"
1079,2566,กันยายน,สปข.3,สวท.น่าน เครื่องส่ง,9810 020009531604,สถานี F.M.,"1,217.18",59.16
1080,2566,กันยายน,สปข.3,สวท.น่าน โรงสูบน้ำ,0116 020009699672,สถานี F.M.,35.62,0.00
1081,2566,กันยายน,สปข.7,สปข.7 (สำนักงานเขต),020001965577,สำนักประชาสัมพันธ์เขตและ T.V.,"105,918.73","20,196.00"
1082,2566,กันยายน,สปข.7,ศบพ.ตราด,020002484380,สถานีเครื่องส่ง T.V.,"36,718.33","7,428.50"
1083,2566,กันยายน,สปข.7,ศบพ.ระยอง,6500728234,สถานีเครื่องส่ง T.V.,"58,777.15","12,848.60"
1084,2566,กันยายน,สปข.7,ศบพ.สระแก้ว,23069511,สถานี T.V.,"1,642.33",267.10
1085,2566,กันยายน,สปข.7,สวท.จันทบุรี,18314581,สถานี F.M.,"25,808.21","5,201.00"
1086,2566,กันยายน,สปข.7,สวท.จันทบุรี,5900796957,สถานี A.M.,"74,352.42","15,536.00"
1087,2566,กันยายน,สปข.7,สวท.ตราด,8742222,สถานี F.M.,"26,721.86","5,333.74"
1088,2566,กันยายน,สปข.7,สวท.ตราด,6400041332,สถานี A.M.,748.52,84.61
1089,2566,กันยายน,สปข.7,สวท.ระยอง,d230763,สถานี F.M.,"17,736.43","3,553.00"
1090,2566,กันยายน,สปข.7,สวท.สระแก้ว,A395166,สถานี F.M.,"25,181.27","5,073.00"
1091,2566,กันยายน,สปข.7,สวท.ชลบุรี,8741998,สถานี F.M.,"13,680.01","2,724.81"
1092,2566,กันยายน,สปข.7,สวท.ชลบุรี (เขาฉลาก),6201316652,สถานีเครื่องส่งวิทยุ,"12,515.24","2,487.00"
1093,2566,กันยายน,สปข.3,สวท.แพร่,9802020010258747,สถานี F.M.,"17,692.34","3,544.00"
1094,2566,กันยายน,สปข.3,สคท.ดอยกองมู,0006 020004663073,สถานี T.V.,"15,875.22","3,173.00"
1095,2566,กันยายน,สปข.3,สคท.แม่ฮ่องสอน ห้วยนางปุ๊,9805 020005171674,สถานี T.V. และสถานี F.M.,"48,879.93","9,911.51"
1096,2566,กันยายน,สปข.3,สวท.แม่สะเรียง,27018257,สถานี F.M.,"14,351.96","2,862.00"
1097,2566,กันยายน,สปข.3,สวท.แม่สะเรียง,27058897,สถานี F.M.,"9,356.08","1,842.00"
1098,2566,กันยายน,สปข.6,สปข.6 (สำนักงานเขต),20008051344,สำนักประชาสัมพันธ์เขต,"35,452.20","7,170.00"
1099,2566,กันยายน,สปข.6,สวท.สงขลา,20008048385,สถานี A.M. และ F.M.,"34,898.25","7,056.90"
1100,2566,กันยายน,สปข.6,สวท.พัทลุง,20007247271,สถานี F.M.,"32,161.79","6,498.20"
1101,2566,กันยายน,สปข.6,สวท.ตรัง,20009332317,สถานี F.M.,"45,323.46","9,245.22"
1102,2566,กันยายน,สปข.6,สคท.สตูล,20007712572,สถานี T.V. และสถานี F.M.,"38,740.69","7,841.40"
1103,2566,กันยายน,สปข.6,สวท.สตูล,20007755946,สถานี F.M.,"10,071.17","1,988.00"
1104,2566,กันยายน,สปข.6,สวท.ยะลา,20007137816,สถานี T.V. และสถานี F.M.,"45,098.10","9,261.30"
1105,2566,กันยายน,สปข.6,สวท.ยะลา,20007124946,สถานี A.M.,"55,504.32","11,264.00"
1106,2566,กันยายน,สปข.6,สวท.ปัตตานี,20007560268,สถานี F.M.,"32,205.89","6,507.20"
1107,2566,กันยายน,สปข.6,สวท.นราธิวาส,20007953220,สถานี T.V. และสถานี F.M.,"83,211.51","17,956.82"
1108,2566,กันยายน,สปข.6,สวท.เบตง,20007939927,สถานี F.M.,"10,663.82","2,109.00"
1109,2566,กันยายน,สปข.6,สวท.เบตง,20007960221,สถานี F.M.,"12,981.03","2,582.10"
1110,2566,กันยายน,สปข.6,สคท.เขาคอหงส์,20007197687,สถานี T.V. และสถานี F.M.,"91,375.68","20,454.00"
1111,2566,กันยายน,สปข.6,สทท.สงขลา,20008051409,สถานี T.V.,"143,681.64","20,454.00"
1112,2566,กันยายน,สปข.6,สทท.ตรัง ,20008213409,สถานี T.V.,"5,500.88","1,054.89"
1113,2566,กันยายน,สปข.6,สคท.ปกโย๊ะ,20007590855,สถานี T.V.,"78,730.49","17,409.03"
1114,2566,กันยายน,สปข.6,กคส.ตรัง,20020048115,กรมประชาสัมพันธ์,"18,529.87","3,715.00"
1115,2566,กันยายน,สปข.6,กคส.นาทวี,20021244466,กรมประชาสัมพันธ์,"51,159.80","12,809.67"
1116,2566,กันยายน,สปข.6,สวท.สุไหงโกลก,20007958072,สถานี F.M.,"46,810.02","9,488.90"
1117,2566,สิงหาคม,สปข.6,สคท.เขาคอหงส์,20007197687,สถานี T.V. และสถานี F.M.,"91,375.68","20,454.00"
1118,2566,สิงหาคม,สปข.6,สปข.6 (สำนักงานเขต),20008051344,สำนักประชาสัมพันธ์เขต,"30,575.07","5,863.00"
1119,2566,สิงหาคม,สปข.6,สวท.สงขลา,20008048385,สถานี F.M.,"37,156.08","7,138.90"
1120,2566,สิงหาคม,สปข.6,สวท.พัทลุง,20007247271,สถานี F.M.,"35,329.14","6,784.70"
1121,2566,สิงหาคม,สปข.6,สวท.ตรัง,20009332317,สถานี F.M.,"47,100.34","9,616.10"
1122,2566,สิงหาคม,สปข.6,สคท.สตูล,20007712572,สถานี T.V. และสถานี F.M.,"44,722.26","8,605.80"
1123,2566,สิงหาคม,สปข.6,สวท.สตูล,44722.26,สถานี F.M.,"10,392.09","1,950.00"
1124,2566,สิงหาคม,สปข.6,สวท.ยะลา,20007137816,สถานี F.M.,"46,923.22","9,446.06"
1125,2566,สิงหาคม,สปข.6,สวท.ยะลา,20007124946,สถานี A.M.,"62,208.69","11,996.00"
1126,2566,สิงหาคม,สปข.6,สวท.ปัตตานี,20007560268,สถานี F.M.,"35,208.96","6,761.40"
1127,2566,สิงหาคม,สปข.6,สวท.นราธิวาส,20007953220,สถานี F.M.,"89,619.01","19,047.57"
1128,2566,สิงหาคม,สปข.6,สวท.สุไหงโกลก,20007958072,สถานี F.M.,"56,482.87","10,885.90"
1129,2566,สิงหาคม,สปข.6,สคท.เขาคอหงส์,20007197687,สถานี T.V. และสถานี F.M.,"100,195.07","21,732.00"
1130,2566,สิงหาคม,สปข.6,สคท.เขาคอหงส์,20007555238,บ้านพักข้าราชการ,"5,873.71","1,074.00"
1131,2566,สิงหาคม,สปข.6,สทท.สงขลา,20008051409,สถานี T.V.,"128,206.39","25,166.00"
1132,2566,สิงหาคม,สปข.6,สคท.ตรัง,20008213409,สถานี T.V.,"5,644.71","1,029.60"
1133,2566,สิงหาคม,สปข.6,สทท.ยะลา,20007998474,สถานี T.V.,"61,791.95","11,313.84"
1134,2566,สิงหาคม,สปข.6,สคท.ปกโย๊ะ,20007590855,สถานี T.V.,"83,434.18","17,976.12"
1135,2566,สิงหาคม,สปข.6,กคส.ตรัง,20020048115,สถานี T.V.,"20,638.30","3,936.50"
1136,2566,สิงหาคม,สปข.6,กคส.นาทวี,20021244466,สถานี T.V.,"63,573.04","13,830.69"
1137,2566,สิงหาคม,สปข.6,กคส.เทพา,20021424143,สถานี T.V.,"72,153.18","13,924.00"
1138,2566,สิงหาคม,สปข.6,กคส.ปกโย๊ะ,20021695744,สถานี T.V.,"5,312.03",965.10
1139,2566,กันยายน,สปข.1,สวท.กาฬสินธ์,20011621367,สถานี F.M.,"23,125.98","5,178.40"
1140,2566,กันยายน,สปข.1,สทท.ขอนแก่น /สำนักประชาสัมพันธ์เขต 1	,20015327609,สำนักประชาสัมพันธ์เขตและ T.V.,"178,047.27","39,906.00"
1141,2566,กันยายน,สปข.1,สคว.ขอนแก่น (บ้านสำราญ),20015327642,สถานีเครื่องส่งวิทยุ,"9,550.54","2,094.01"
1142,2566,กันยายน,สปข.1,สวท.ขอนแก่น/บ้านพัก ขรก สวท.ขอนแก่น,20015161572,บ้านพักข้าราชการ,"3,692.31",763.00
1143,2566,กรกฎาคม,สปข.5,สทท.สุราษฎร์ธานี,9813020009046372,สถานี T.V. และสถานี F.M.,"149,837.67","34,087.00"
1144,2566,กันยายน,สปข.1,สวศ.ขอนแก่น	,20015144493,สถานี A.M.,"199,734.17","46,483.00"
1145,2566,กันยายน,สปข.1, สวท.ขอนแก่น	,20016637337,สถานี F.M.,"27,757.74","5,802.38"
1146,2566,กันยายน,สปข.1,สคท.ชัยภูมิ (ช่อง 11)	,20013883883,สถานีเครื่องส่ง T.V.,"22,079.80","4,940.70"
1147,2566,กันยายน,สปข.1,สวท.ชัยภูมิ	,20014009236,สถานี F.M.,"33,300.11","7,490.00"
1148,2566,กันยายน,สปข.1,สคท.ชุมแพ (ขอนแก่น),20014900051,สถานีเครื่องส่ง T.V.,"13,938.21","3,090.90"
1149,2566,กันยายน,สปข.1,สวท.ด่านซ้าย (เลย)	,20015604618,สถานี A.M.,"15,376.55","3,417.70"
1150,2566,กันยายน,สปข.1,สคท.นครราชสีมา	,20012969536,สถานีเครื่องส่ง T.V.,"1,970.06",371.70
1151,2566,กันยายน,สปข.1,สวท.นครราชสีมา	,20013335830,สถานี A.M. และ F.M.,"76,168.41","18,049.00"
1152,2566,กันยายน,สปข.1,สวท.บึงกาฬ  	,20014520640,สถานี F.M.,"21,369.41","4,779.30"
1153,2566,กันยายน,สปข.1,สวท.มหาสารคาม	,20012031545,สถานี F.M.,"17,210.14","3,834.30"
1154,2566,กันยายน,สปข.1,สวท.มหาสารคาม (หนองจิก)	,20011950531,สถานีเครื่องส่งวิทยุ,"20,145.39","4,501.20"
1155,2566,กันยายน,สปข.1,สคท.เลย (อ.ภูเรือ)	,20015941506,สถานีเครื่องส่ง T.V.,"19,112.40","4,266.50"
1156,2566,กันยายน,สปข.1,สวท.เลย	,20015706013,สถานี F.M.,"15,221.18","3,382.40"
1157,2566,กันยายน,สปข.1,สวท.เลย (บ.กำเนิดเพชร)	,20015706261,สถานี A.M.,"79,882.25","20,195.12"
1158,2566,กันยายน,สปข.1,สวท.เลย (ภูเรือ)	,20015941476,สถานีเครื่องส่งวิทยุ,"13,210.76","2,629.00"
1159,2566,กันยายน,สปข.1,สคท.สกลนคร (ช่อง 11)	,20015372404,สถานีเครื่องส่ง T.V.,"32,890.74","7,396.99"
1160,2566,กันยายน,สปข.1,สวท.สกลนคร	,20014789142,สถานี F.M.,"8,873.90","1,667.00"
1161,2566,กันยายน,สปข.1,สวท.สกลนคร	,20015372371,สถานีเครื่องส่งวิทยุ,"14,322.57","2,856.00"
1162,2566,กันยายน,สปข.1,สคท.บึงกาฬ	,20016205576,สถานีเครื่องส่ง T.V.,"11,569.39","2,552.70"
1163,2566,กันยายน,สปข.1,สวท.หนองคาย	,20014528143,สถานี F.M.,"16,143.70","3,592.00"
1164,2566,กันยายน,สปข.1,สวท.หนองคาย	,20014477381,สถานีเครื่องส่งวิทยุ,"79,705.74","19,357.15"
1165,2566,กันยายน,สปข.1,สวท.หนองบัวลำภู	,20015601206,สถานี F.M.,"44,545.54","10,045.00"
1166,2566,กันยายน,สปข.1,สคท.อุดรธานี (อ.เพ็ญ)	,20015250536,สถานีเครื่องส่ง T.V.,"2,837.58",568.80
1167,2566,กันยายน,สปข.1,สวท.อุดรธานี	,20016108212,สถานี F.M.,"24,926.54","5,587.49"
1168,2566,กันยายน,สปข.1,สวท.อุดรธานี (บ้านดุง)	,20016297135,สถานีเครื่องส่ง VOA,"184,740.74","42,716.74"
